time_s,A,B,C
0.000001,2.2,,
0.134438,2.2,,
0.311787,2.2,,
0.568513,2.2,,
0.698051,2.2,,
0.887737,2.2,,
1.083918,2.3,,
1.289216,2.2,,
1.478948,2.3,,
1.665772,2.2,,
1.802539,2.3,,
1.987984,2.3,,
2.174962,2.2,,
2.356944,2.3,,
2.569830,2.2,,
2.751919,2.3,,
2.891857,2.3,,
3.073004,2.3,,
3.266636,2.3,,
3.459506,2.3,,
3.656007,2.3,,
3.850620,2.3,,
3.991175,2.3,,
4.132406,2.3,,
4.316071,2.2,,
4.498539,2.3,,
4.687262,2.3,,
4.874487,2.3,,
5.022738,2.3,,
5.163845,2.3,,
5.348068,2.3,,
5.534869,1.7,,
5.722401,2.3,,
5.912528,2.7,,
6.050981,2.2,,
6.206187,2.4,,
6.393169,1.1,,
6.577193,-0.3,,
6.771652,-0.5,,
6.951864,0.8,,
7.095196,1.4,,
7.270680,2.7,,
7.479868,1.3,,
7.673286,-1.6,,
7.861919,0.6,,
8.053231,1.9,,
8.199165,0.8,,
8.383046,1.6,,
8.569350,0.6,,
8.754078,0.7,,
8.942358,3.6,,
9.130214,0.2,,
9.264631,0.4,,
9.453766,3.1,,
9.639639,0.2,,
9.837236,1.1,,
10.039946,0.6,,
10.237684,-0.3,,
10.380811,2.0,,
10.521718,0.8,,
10.733430,1.2,,
10.882246,2.1,,
11.068521,-0.2,,
11.252837,0.6,,
11.385101,1.4,,
11.581794,-0.6,,
11.784368,1.7,,
11.987006,-0.4,,
12.257647,2.1,,
12.401038,-0.2,,
12.584935,0.6,,
12.776070,2.0,,
12.965586,-0.7,,
13.170341,2.6,,
13.362664,4.4,,
13.590126,4.3,,
13.786627,4.0,,
13.986091,0.8,,
14.184902,0.1,,
14.392775,2.8,,
14.545435,0.3,,
14.691465,-0.8,,
14.847652,1.6,,
15.051389,2.4,,
15.251745,-0.4,,
15.444475,3.0,,
15.591239,2.2,,
15.738554,1.0,,
15.925965,0.9,,
16.117628,-2.4,,
16.323060,1.6,,
16.540348,-0.4,,
16.682231,-1.2,,
16.836428,-2.0,,
