time_s,A,B,C
0.000001,9.8,9.7,9.9
0.214133,9.8,9.7,9.9
0.442176,9.8,9.7,9.9
0.726728,9.8,9.7,9.9
0.957610,9.8,9.7,9.9
1.173945,9.8,9.7,9.9
1.405977,9.8,9.7,9.9
1.622609,9.8,9.7,9.9
1.882094,9.8,9.7,9.9
2.090216,9.8,9.7,9.9
2.306922,9.8,9.7,9.9
2.525578,9.7,9.7,9.9
2.789985,9.8,9.7,9.9
3.052823,9.8,9.7,9.9
3.271294,9.8,9.7,9.9
3.503216,9.8,9.7,9.9
3.752613,9.8,9.7,9.9
3.970912,9.8,9.7,9.9
4.263044,9.8,9.7,9.9
4.482178,9.8,9.7,9.9
4.731755,9.8,9.7,9.9
4.964055,9.8,9.7,9.9
5.181382,9.8,9.7,9.9
5.432986,9.8,9.7,9.9
5.682110,9.8,9.7,9.9
5.914409,9.8,9.7,9.9
6.125517,9.8,9.7,9.9
6.347223,9.8,9.7,9.9
6.601657,9.8,9.7,9.9
6.814888,9.8,9.7,9.9
7.032496,9.8,9.7,9.9
7.249230,9.8,9.7,9.9
7.481996,9.8,9.7,9.9
7.774796,9.8,9.7,9.9
8.004433,9.8,9.7,9.9
8.221389,9.8,9.7,9.8
8.425888,9.8,9.7,9.9
8.658250,9.8,9.7,9.9
8.923284,9.7,9.8,10.0
9.141172,10.3,9.7,9.9
9.359759,9.8,9.7,9.2
9.578591,9.9,9.7,10.1
9.795670,9.9,9.7,9.9
10.045452,9.9,9.8,9.9
10.276570,9.5,9.6,9.9
10.497090,9.9,9.6,9.8
10.744412,9.9,9.9,10.0
10.961120,10.4,9.9,10.0
11.231977,9.5,9.6,9.9
11.456258,10.3,9.9,10.0
11.673136,9.9,9.9,9.8
11.875691,9.7,9.7,9.3
12.092013,9.9,9.7,10.2
12.364335,9.7,9.7,9.8
12.574419,9.8,9.6,9.9
12.806912,9.9,9.8,9.9
13.023698,9.6,9.6,9.8
13.256187,9.9,9.8,10.0
13.519607,9.9,9.8,9.9
13.783323,9.7,9.7,9.9
13.999633,9.5,9.6,9.8
14.232419,9.1,9.3,9.7
14.449592,10.3,10.4,10.0
14.719617,9.4,9.9,10.0
14.934287,9.8,9.8,10.4
15.151064,9.7,9.7,9.5
15.368967,9.9,9.7,9.9
15.603252,9.9,9.8,9.9
15.863829,9.7,9.7,9.9
16.087788,9.8,9.6,9.8
16.306932,9.9,9.9,9.8
16.555263,9.8,9.7,9.8
16.771931,10.5,9.9,9.9
17.054381,8.8,9.3,9.7
17.268300,9.7,9.7,9.9
17.486508,9.8,9.7,9.9
17.719020,9.8,9.7,9.9
17.936872,9.8,9.7,9.9
18.203927,9.8,9.7,9.9
18.419032,9.8,9.7,9.9
18.636857,9.8,9.7,9.9
18.853072,9.8,9.7,9.9
19.057029,9.8,9.7,9.9
19.316110,9.8,9.7,9.9
19.538887,9.8,9.7,9.9
19.772006,9.8,9.7,10.5
19.990018,9.8,9.8,9.9
20.207580,9.7,9.7,9.9
20.477470,9.8,9.7,9.9
20.700322,9.8,9.7,9.9
20.918872,9.8,9.7,9.9
21.152742,9.8,9.7,9.9
21.370177,9.8,9.7,9.9
21.653717,9.8,9.7,9.9
21.871064,9.8,9.7,9.9
22.089610,9.4,9.7,10.0
22.305975,9.8,9.7,9.9
22.537319,9.8,9.7,9.9
22.826513,9.8,9.7,9.9
23.036333,9.7,9.7,9.9
23.270531,9.8,9.7,9.9
23.487156,9.6,9.5,9.8
23.749904,9.8,9.7,9.9
24.020048,9.8,9.7,9.9
24.231945,9.8,7.9,9.2
24.450446,10.1,10.0,10.1
24.668943,9.8,9.7,9.9
24.888271,9.6,9.6,9.9
25.146412,10.0,9.9,10.0
25.367610,9.4,9.5,9.7
25.586230,9.7,9.6,9.9
25.820116,9.7,9.5,9.8
26.037564,9.5,9.6,9.7
26.302308,10.1,9.9,10.0
26.531930,9.6,9.5,9.4
26.782150,9.4,9.4,9.9
26.997913,9.8,9.7,10.1
27.244932,9.5,9.5,9.7
27.508142,9.8,8.9,9.8
27.743270,10.1,10.0,10.4
27.963681,9.7,9.7,10.1
28.180804,9.4,9.4,9.7
28.397838,9.8,9.8,9.8
28.650954,9.3,9.2,10.1
28.863257,10.0,10.0,10.1
29.080802,9.4,9.4,9.8
29.297248,9.1,9.4,9.6
29.513846,10.0,9.5,9.7
29.803602,9.5,9.8,9.8
30.028950,9.8,9.8,10.0
30.232060,9.1,9.1,9.5
30.448131,9.6,9.6,10.0
30.682311,9.4,9.4,9.7
30.944382,10.1,10.0,10.0
31.161533,9.4,9.4,9.7
31.378403,9.9,9.2,9.6
31.596028,9.7,9.6,10.0
31.830877,9.9,9.3,9.7
32.116652,9.5,10.0,10.1
32.345852,10.0,9.4,9.6
32.562510,9.8,9.8,10.3
32.796582,9.8,10.2,10.5
33.029263,9.9,9.8,10.0
33.288587,9.8,9.6,10.1
33.527443,9.9,9.9,10.2
33.777463,9.9,9.6,9.7
34.009877,9.8,9.7,9.9
34.318874,9.8,9.7,9.9
34.538898,9.8,9.7,9.9
34.771096,9.8,9.7,9.9
34.986182,9.8,9.7,9.9
35.203943,9.8,9.7,9.9
35.457383,9.7,9.6,9.8
35.669909,9.9,9.7,9.8
35.887908,8.9,8.9,9.4
36.105793,10.3,10.7,10.5
36.338739,9.4,9.6,10.0
36.602821,9.3,9.7,9.9
36.825450,9.5,9.4,9.8
37.042839,9.9,9.7,10.0
37.276245,9.8,9.7,9.9
37.492675,9.8,9.7,9.9
37.787066,9.8,9.7,9.9
38.008360,9.8,9.7,9.9
38.224242,9.8,9.7,9.9
38.456388,9.8,9.7,9.9
38.674382,9.8,9.7,9.9
38.956210,9.8,9.7,9.9
39.185971,9.8,9.7,9.9
39.405595,9.8,9.7,9.9
39.640044,9.8,9.9,9.9
39.857837,9.8,10.0,9.9
40.145517,9.8,10.4,9.9
40.371440,9.8,9.7,9.9
40.588515,9.8,9.7,9.9
40.852095,9.8,9.7,9.9
41.085941,9.8,9.7,9.9
41.367034,9.8,9.7,9.9
41.584856,9.8,9.7,9.9
41.803040,9.8,9.7,9.9
42.038802,9.8,9.7,9.9
42.252495,9.8,9.7,9.9
42.506069,9.8,9.7,9.9
42.752241,9.8,9.7,9.9
42.971315,9.8,9.7,9.9
43.189526,9.8,9.7,9.9
43.405492,9.8,9.7,9.9
43.668344,9.8,9.7,9.9
43.888621,9.7,9.7,9.8
44.108172,9.8,9.7,9.9
44.325945,9.8,9.7,9.9
44.543986,9.8,9.7,9.8
44.848917,9.8,9.7,9.9
45.074072,9.8,9.7,9.9
45.294041,9.8,9.7,9.9
45.525927,9.8,9.7,9.9
45.847827,9.8,9.8,9.9
46.057642,9.7,9.7,9.9
46.274212,9.8,9.7,9.8
46.492987,9.8,9.7,9.9
46.743877,9.8,9.7,9.9
47.034233,9.8,9.7,9.9
47.240901,9.8,9.7,9.9
47.445102,9.8,9.7,9.9
47.661278,9.8,9.7,9.9
47.908666,9.8,9.7,9.9
48.172703,9.8,9.7,9.9
48.389439,9.8,9.7,9.9
48.607960,9.8,9.7,9.9
48.855119,9.8,9.7,9.9
49.089744,9.8,9.7,9.9
49.363941,9.7,9.7,9.9
49.586373,9.8,9.7,9.9
49.820100,9.8,9.7,9.9
50.037283,9.8,9.7,9.8
50.270225,9.8,9.7,9.9
50.541964,9.8,9.7,9.9
50.782786,9.8,9.7,9.9
51.000753,9.8,9.7,9.9
