time_s,A,B,C
0.000001,9.7,9.7,9.9
0.278581,9.7,9.7,9.8
0.534526,9.7,9.7,9.9
0.756651,9.7,9.7,9.9
0.974079,9.7,9.7,9.9
1.190820,9.7,9.7,9.9
1.405470,9.7,9.7,9.9
1.674713,9.7,9.7,9.9
1.934959,9.7,9.7,9.9
2.153130,9.7,9.7,9.9
2.370446,9.7,9.7,9.9
2.590074,9.7,9.7,9.8
2.854136,9.7,9.7,9.8
3.073517,9.7,9.7,9.8
3.304409,9.7,9.7,9.8
3.522553,9.7,9.7,9.8
3.739242,9.7,9.7,9.8
4.036896,9.7,9.7,9.8
4.256536,9.7,9.7,9.9
4.488489,9.7,9.7,9.8
4.707732,9.7,9.7,9.8
4.941393,9.7,9.7,9.9
5.207660,9.7,9.7,9.8
5.426862,9.7,9.7,9.8
5.644070,9.7,9.7,9.8
5.873728,9.7,9.7,9.9
6.091127,9.7,9.7,9.9
6.354496,9.7,9.7,9.9
6.572650,9.7,9.7,9.9
6.788882,9.7,9.7,9.9
7.021168,9.7,9.7,9.8
7.240480,9.7,9.7,9.9
7.547768,9.7,9.7,9.9
7.767175,9.7,9.7,9.8
7.985671,9.7,9.7,9.8
8.202036,9.7,9.7,9.9
8.421195,9.7,9.7,9.9
8.707212,9.7,9.7,9.8
8.980627,9.7,9.7,9.9
9.213814,9.7,9.7,9.9
9.430230,9.7,9.7,9.9
9.733896,9.7,9.7,9.8
10.008812,9.7,9.7,9.8
10.217557,9.7,9.7,9.8
10.423664,9.7,9.7,9.8
10.629335,9.7,9.7,9.9
10.904160,9.7,9.7,9.9
11.136511,9.7,9.7,9.9
11.342029,9.7,9.7,9.8
11.547871,9.7,9.7,9.8
11.753787,9.7,9.7,9.9
12.028812,9.7,9.7,9.8
12.259708,9.7,9.7,9.8
12.471357,9.7,9.7,9.9
12.693515,9.7,9.7,9.9
13.012295,9.7,9.7,9.9
13.241655,9.7,9.7,9.8
13.465326,9.7,9.7,9.8
13.690696,9.7,9.7,9.9
14.010856,9.7,9.7,9.9
14.239462,9.7,9.7,9.8
14.463168,9.7,9.7,9.9
14.690227,9.7,9.7,9.9
14.911087,9.7,9.7,9.8
15.206312,9.7,9.7,9.8
15.439709,9.7,9.7,9.8
