time_s,A,B,C
0.000001,9.8,9.7,9.9
0.278043,9.8,9.7,9.9
0.494087,9.8,9.7,9.9
0.697020,9.8,9.7,9.9
0.913707,9.8,9.7,9.9
1.132093,9.8,9.7,9.9
1.333592,10.6,9.4,9.9
1.549815,10.7,10.7,9.9
1.766106,11.0,9.6,9.8
1.984255,9.5,9.4,9.9
2.199274,9.8,9.1,9.9
2.402018,9.8,9.7,9.9
2.619421,11.9,10.5,10.2
2.838522,8.8,9.4,10.1
3.040254,10.5,11.1,11.6
3.257470,9.8,9.1,9.8
3.488961,7.0,8.2,9.6
3.705668,8.3,9.5,7.6
3.924496,9.6,7.9,12.9
4.141285,7.9,10.7,11.8
4.358860,10.0,9.9,9.8
4.577214,8.8,9.3,8.0
4.811264,15.9,8.3,11.9
5.045593,4.0,6.4,6.2
5.278732,12.1,9.4,9.2
5.510059,10.3,9.9,7.7
5.730208,15.3,13.1,8.3
5.947602,8.7,7.1,7.7
6.164405,10.2,10.1,9.6
6.382122,10.1,10.5,13.7
6.583812,9.2,8.8,7.2
6.801427,8.1,9.9,9.5
7.018983,11.8,10.9,11.4
7.252427,7.9,7.4,7.5
7.484372,9.5,9.8,8.9
7.703200,10.5,12.1,15.3
7.920227,7.9,6.8,6.8
8.120966,8.1,9.5,9.4
8.337869,9.6,10.2,13.5
8.555050,9.3,9.7,8.4
8.772440,9.6,8.7,9.4
8.989414,11.3,8.7,12.7
9.193081,10.4,9.3,8.0
9.395986,8.4,8.2,8.2
9.610240,9.2,10.2,9.8
9.827930,11.4,9.1,9.0
10.045833,9.5,9.3,9.5
10.261067,9.3,9.2,9.2
10.478086,9.6,9.7,9.6
10.711015,9.7,9.7,9.6
10.928125,8.7,9.7,9.6
11.145786,11.3,9.7,9.4
11.377944,10.5,9.7,8.8
11.596230,9.2,9.7,7.3
11.800256,11.7,9.8,6.6
12.016481,7.6,9.7,9.0
12.249304,5.7,9.7,10.1
12.499260,-1.8,9.7,4.4
12.716944,-0.9,9.7,10.8
12.931919,-1.6,9.7,8.4
13.149055,4.1,9.7,9.1
13.366725,7.2,9.7,10.3
13.583316,6.7,9.7,10.4
13.786316,7.0,9.7,9.9
14.002209,7.8,9.9,9.9
14.218912,8.4,9.7,9.9
14.468785,9.6,9.7,9.9
14.688164,9.6,9.7,9.8
14.892403,9.7,9.7,9.9
15.126696,10.1,9.7,9.9
15.343541,9.5,9.7,9.9
15.545878,9.8,9.7,9.9
15.764898,9.8,9.7,9.9
15.999641,9.7,9.7,9.8
16.201894,9.8,9.7,9.9
16.450860,9.8,9.7,9.9
16.651937,9.8,9.7,9.9
16.867801,9.8,9.8,9.9
17.085351,9.7,9.7,9.9
17.289375,9.8,9.7,9.9
17.506482,9.8,9.7,9.9
17.723782,9.8,9.7,9.9
17.941735,9.8,9.7,9.9
18.159371,9.8,9.7,9.9
18.362258,9.8,9.7,9.9
18.565404,9.8,9.7,9.9
18.782694,9.7,9.8,9.8
19.001510,9.8,9.7,9.9
19.202258,9.7,9.7,9.8
19.419972,9.8,9.7,9.9
19.639496,9.8,9.7,9.8
19.841067,9.8,9.7,9.9
20.058129,9.7,9.7,9.9
20.275663,9.8,9.7,9.9
20.508020,9.8,9.7,9.8
20.727064,9.8,9.7,9.9
20.927974,9.8,9.7,9.9
21.148326,9.7,9.7,9.9
21.366669,9.8,9.7,9.8
21.614098,9.8,9.7,9.9
21.831932,9.8,9.7,9.8
22.034285,9.8,9.7,9.9
22.252122,9.8,9.7,9.9
22.485649,9.8,9.7,9.9
22.718467,9.8,9.7,9.9
22.934846,9.8,9.8,9.8
23.152579,9.8,9.7,9.9
23.371629,9.8,9.7,9.8
23.573115,9.8,9.7,9.9
23.789337,9.8,9.7,9.9
24.005900,9.8,9.7,9.8
24.222336,9.8,9.7,9.8
24.439524,9.8,9.7,9.8
24.642610,9.7,9.7,9.9
24.859972,9.8,9.7,9.9
25.080205,9.8,9.7,9.9
25.296156,9.7,9.7,9.8
25.513537,9.8,9.7,9.9
25.761530,9.8,9.7,9.9
25.979127,9.8,9.7,9.9
26.197487,9.8,9.7,9.9
26.415801,9.8,9.7,9.8
26.633444,9.8,9.7,9.8
26.836564,9.8,9.7,9.8
27.053360,9.8,9.7,9.8
27.269300,9.8,9.7,9.8
27.471594,9.8,9.7,9.9
27.689230,9.8,9.7,9.9
27.905976,9.8,9.7,9.8
28.123125,9.7,9.7,9.8
28.340277,9.8,9.7,9.9
28.541243,9.8,9.7,9.8
28.772945,9.8,9.7,9.8
28.990110,9.8,9.7,9.9
29.208938,9.8,9.7,9.9
29.472476,9.8,9.7,9.8
29.689498,9.8,9.7,9.8
29.891658,9.8,9.7,9.9
30.110104,9.8,9.7,9.9
30.329292,9.8,9.7,9.9
30.547356,9.8,9.7,9.8
30.763827,9.8,9.7,9.9
30.981969,9.8,9.7,9.8
31.183600,9.8,9.7,9.8
31.399744,9.8,9.7,9.8
31.616780,9.8,9.7,9.8
31.834046,9.8,9.7,9.9
32.052396,8.9,11.2,9.5
32.255044,9.5,9.7,10.1
32.505089,10.4,9.7,10.2
32.723653,9.5,9.7,9.9
32.939090,9.6,10.2,9.6
33.157641,10.0,9.8,9.9
33.359978,9.7,9.7,10.2
33.576992,9.8,9.6,9.8
33.792733,9.9,9.9,9.9
34.010117,9.7,9.7,9.9
34.243989,9.8,9.8,10.0
34.509069,9.8,9.8,9.8
34.739956,9.7,9.7,9.8
34.958261,9.9,9.7,9.9
35.160066,9.8,9.7,9.9
35.390878,9.9,9.8,9.9
35.591373,9.8,9.7,9.9
35.810361,9.8,9.8,9.8
36.029084,9.9,9.7,9.9
36.260696,9.7,9.6,9.9
36.492629,9.8,9.7,9.8
36.710269,9.8,9.7,9.9
36.927616,9.7,9.7,9.9
37.130393,9.8,9.8,9.8
37.347864,9.8,9.7,10.0
37.563978,9.8,9.7,9.8
37.766705,9.8,9.7,9.8
37.985446,9.8,9.8,9.9
38.203570,9.7,9.7,9.9
38.421611,9.8,9.8,9.2
38.640333,9.5,8.6,10.2
38.858400,9.0,10.9,8.9
39.061301,8.6,11.0,8.4
39.278637,10.5,13.6,10.1
39.497967,12.0,10.0,9.6
39.716949,13.6,9.0,9.6
39.934438,9.4,11.8,9.1
40.152641,9.0,8.3,10.6
40.355026,10.2,9.5,9.2
40.572277,9.6,9.4,10.4
40.804624,9.7,9.7,9.6
41.023205,9.8,10.2,9.9
41.241185,9.8,9.8,9.9
41.459109,9.7,9.7,9.8
41.678318,9.8,9.9,10.0
41.928051,9.8,9.8,9.8
42.144307,9.7,9.7,9.9
42.392143,9.8,9.8,9.9
42.641476,9.8,9.7,9.9
42.873781,9.8,9.8,9.8
43.105026,9.8,9.7,9.9
43.322271,9.8,9.8,9.9
43.541237,9.8,9.7,9.9
43.759084,9.8,9.8,9.9
43.976457,9.8,9.7,9.8
44.178583,9.8,9.7,9.9
44.411278,9.8,9.7,9.9
44.629855,9.8,9.7,9.9
44.848786,9.8,9.7,9.9
45.064438,9.8,9.7,9.9
45.266622,9.8,9.7,9.9
45.499613,9.8,9.7,9.9
45.734158,9.8,9.7,9.8
45.951411,9.7,9.7,9.9
46.168824,9.8,9.7,9.9
46.401848,9.8,9.8,9.8
46.620229,9.8,9.7,9.9
46.821553,9.8,9.7,9.9
47.047243,9.8,9.7,9.8
47.253372,9.8,9.7,9.9
47.460240,9.8,9.8,9.9
47.675895,9.8,9.7,9.9
47.892905,9.7,9.7,9.8
48.097144,9.8,9.7,9.9
48.314094,9.8,9.7,9.9
48.531470,9.8,9.7,9.9
48.762958,9.8,9.7,9.8
48.979860,9.8,9.7,9.9
49.186424,9.8,9.7,9.9
49.401555,9.7,9.7,9.9
49.635204,9.8,9.7,9.9
49.851744,9.8,9.7,9.9
50.068459,9.8,9.7,9.9
50.286412,9.8,9.7,9.9
50.503467,9.7,9.7,9.9
50.720967,9.8,9.7,9.9
50.956475,9.8,9.7,9.9
51.357147,9.8,9.7,9.9
51.644535,9.7,9.7,9.9
51.949265,9.7,9.7,9.9
52.238440,9.8,9.7,9.9
