time_s,A,B,C
0.000001,9.8000,9.7000,9.9000
0.298873,9.8000,9.7000,9.9000
0.990292,9.8000,9.7000,9.9000
1.232874,9.7000,9.7000,9.9000
1.448866,9.8000,9.7000,9.8000
2.101640,9.7000,9.7000,9.8000
2.321748,9.8000,9.7000,9.9000
2.548188,9.8000,9.7000,9.8000
3.171372,9.8000,9.7000,9.9000
3.431818,9.8000,9.7000,9.9000
3.664231,9.8000,9.7000,9.9000
4.280340,9.7000,9.7000,9.9000
4.498666,9.8000,9.7000,9.9000
4.719156,9.8000,9.7000,9.8000
5.412316,9.8000,9.8000,9.9000
5.631944,9.8000,9.7000,9.9000
5.852115,9.8000,9.7000,9.9000
6.529127,9.8000,9.7000,9.9000
6.750926,9.8000,9.7000,9.8000
6.973805,9.8000,9.7000,9.9000
7.617114,9.8000,9.8000,9.9000
7.840967,9.8000,9.7000,9.9000
8.074976,9.8000,9.7000,9.9000
8.707670,9.8000,9.7000,9.9000
8.921782,9.8000,9.7000,9.9000
9.148808,9.8000,9.8000,9.9000
9.810631,9.8000,9.7000,9.9000
10.035419,9.8000,9.7000,9.9000
10.252477,9.8000,9.7000,9.9000
10.926908,9.8000,9.7000,9.9000
11.143528,9.8000,9.7000,9.9000
11.367646,9.8000,9.7000,9.6000
11.995093,10.5000,9.6000,10.6000
12.206362,9.8000,9.5000,10.3000
12.425632,10.7000,9.4000,10.5000
13.095650,10.0000,9.8000,9.0000
13.309666,10.0000,10.3000,9.2000
13.575358,9.9000,9.4000,9.8000
14.223805,10.5000,10.7000,9.0000
14.452034,9.4000,9.9000,10.1000
14.657139,10.2000,11.3000,9.5000
15.296599,10.3000,9.5000,10.0000
15.528059,10.3000,9.6000,9.8000
15.745639,10.5000,10.0000,8.4000
16.414779,9.9000,9.5000,9.1000
16.631987,9.8000,11.1000,8.8000
16.855117,9.1000,10.7000,9.7000
17.509206,9.7000,9.1000,10.0000
17.733444,9.9000,10.5000,9.1000
17.938382,9.7000,10.6000,9.5000
18.589286,9.7000,9.5000,10.3000
18.820743,9.5000,10.2000,9.3000
19.039102,9.5000,9.7000,9.8000
19.701873,9.7000,9.8000,9.8000
19.912049,9.8000,9.8000,9.9000
20.136017,9.8000,9.7000,9.9000
20.776177,9.8000,9.7000,9.9000
21.009407,9.8000,9.7000,9.9000
21.241252,9.8000,9.8000,9.9000
21.941756,9.8000,9.8000,9.9000
22.166363,9.8000,9.7000,9.9000
22.390994,9.8000,9.8000,9.8000
23.044121,9.8000,9.8000,9.8000
23.262913,9.8000,9.8000,9.8000
23.472287,9.8000,9.7000,9.9000
24.166790,9.8000,9.7000,9.8000
24.391965,9.8000,9.7000,9.9000
24.624979,9.8000,9.8000,9.9000
25.347400,9.8000,9.7000,9.9000
25.578335,9.8000,9.7000,9.9000
25.807333,9.8000,9.7000,9.9000
26.738791,9.8000,9.7000,9.9000
26.991167,9.8000,9.7000,9.9000
27.903262,9.8000,9.7000,9.9000
28.227631,9.8000,9.7000,9.9000
29.053686,9.8000,9.7000,9.9000
29.276395,9.7000,9.7000,9.8000
30.131248,9.8000,9.7000,9.9000
30.376021,9.7000,9.7000,9.8000
31.292087,9.8000,9.7000,9.8000
31.514372,9.8000,9.7000,9.8000
32.264241,9.8000,9.7000,9.8000
32.498612,9.8000,9.7000,9.9000
32.724351,9.8000,9.7000,9.9000
33.417954,9.8000,9.7000,9.9000
33.684006,9.8000,9.7000,9.9000
33.913352,9.8000,9.7000,9.8000
34.633233,9.8000,9.7000,9.9000
34.865255,9.8000,9.7000,9.9000
35.123322,9.8000,9.7000,9.9000
35.834849,9.8000,9.7000,9.8000
36.073117,9.8000,9.7000,9.9000
36.306420,9.8000,9.7000,9.9000
37.006075,9.8000,9.7000,9.9000
37.217634,9.8000,9.7000,9.9000
37.442888,9.8000,9.8000,9.8000
38.155169,9.8000,9.7000,9.9000
38.377313,9.8000,9.8000,9.9000
38.616424,9.8000,9.7000,9.8000
39.313470,9.7000,9.7000,9.9000
39.521652,9.8000,9.7000,9.9000
39.759561,9.8000,9.7000,9.9000
40.465092,9.8000,9.7000,9.8000
40.689115,9.8000,9.7000,9.8000
40.919358,9.8000,9.7000,9.9000
41.564567,9.8000,9.7000,9.9000
41.803803,9.8000,9.7000,9.9000
42.134114,9.8000,9.7000,9.9000
42.952812,9.8000,9.7000,9.9000
43.170402,9.8000,9.8000,9.9000
43.919724,9.8000,9.7000,9.9000
44.147675,9.8000,9.7000,9.9000
44.362896,9.7000,9.7000,9.9000
45.061256,9.7000,9.7000,9.9000
45.280497,9.7000,9.7000,9.9000
45.504353,9.8000,9.7000,9.9000
46.263169,9.8000,9.7000,9.9000
46.483172,9.8000,9.7000,9.9000
46.704295,9.8000,9.8000,9.9000
47.411755,9.8000,9.7000,9.9000
47.641950,9.8000,9.8000,9.9000
47.895809,9.8000,9.8000,9.9000
48.559397,9.8000,9.7000,9.9000
48.787440,9.8000,9.7000,9.9000
49.036914,9.8000,9.7000,9.9000
49.714647,9.8000,9.7000,9.9000
49.947768,9.8000,9.7000,9.9000
50.176357,9.8000,9.7000,9.9000
50.868852,9.8000,9.7000,9.9000
51.117252,9.8000,9.8000,9.9000
51.356124,9.8000,9.7000,9.9000
52.092025,9.8000,9.8000,9.9000
52.327466,9.7000,9.7000,9.9000
52.539826,9.8000,9.8000,9.8000
53.232386,9.8000,9.7000,9.9000
53.501972,9.8000,9.7000,9.8000
53.733381,9.8000,9.8000,9.9000
54.440540,9.8000,9.7000,9.8000
54.670696,9.8000,9.7000,9.8000
54.894945,9.8000,9.7000,9.9000
55.575501,9.8000,9.8000,9.8000
55.804017,9.8000,9.7000,9.9000
56.085147,9.8000,9.7000,9.8000
56.782240,9.7000,9.7000,9.8000
57.022762,9.8000,9.7000,9.9000
57.244369,9.8000,9.7000,9.9000
57.967171,9.7000,9.7000,9.9000
58.192055,9.7000,9.7000,9.9000
58.416604,9.7000,9.7000,9.8000
59.139829,9.7000,9.7000,9.9000
59.366793,9.7000,9.7000,9.8000
59.602069,9.8000,9.7000,9.9000
60.279616,9.8000,9.7000,9.9000
