time_s,A,B,C
0.000001,9.4,9.7,9.9
0.281380,9.4,9.7,9.9
0.554036,9.4,9.7,9.9
0.820015,9.4,9.7,9.9
1.078968,9.4,9.7,9.8
1.352495,9.4,9.7,9.9
1.652327,9.4,9.7,9.8
1.934805,9.4,9.7,9.8
2.232612,9.4,9.7,9.8
2.515738,9.4,9.7,9.9
2.793217,9.4,9.7,9.8
3.101405,9.4,9.7,9.8
3.384550,9.4,9.7,9.8
3.667695,9.4,9.7,9.8
3.946825,9.4,9.7,9.8
4.236451,9.4,9.7,9.8
4.537021,9.4,9.7,9.8
4.837576,9.4,9.7,9.9
5.134002,9.4,9.7,9.9
5.444895,9.4,9.7,9.9
5.743440,9.4,9.7,9.9
6.077236,9.4,9.7,9.9
6.384706,9.4,9.7,9.8
6.685988,9.4,9.7,9.8
6.984921,9.4,9.7,9.9
7.283019,9.4,9.7,9.8
7.594887,9.4,9.7,9.8
7.909100,9.4,9.7,9.9
8.242664,9.4,9.7,9.8
8.546432,9.4,9.7,9.8
8.861297,9.4,9.7,9.8
9.166264,9.4,9.7,9.8
9.483677,9.4,9.7,9.8
9.811616,9.4,9.7,9.8
10.123240,9.4,9.7,9.8
10.453629,9.4,9.7,9.9
10.769179,9.4,9.7,9.9
11.108670,9.4,9.7,9.9
11.418840,9.4,9.7,9.8
11.767761,9.4,9.7,9.9
12.109265,9.4,9.7,9.8
12.442855,9.4,9.7,9.9
12.758297,9.4,9.7,9.8
13.099652,9.4,9.7,9.9
13.423783,9.4,9.7,9.8
13.756427,9.4,9.7,9.8
14.110460,9.4,9.7,9.8
14.431286,9.4,9.7,9.9
14.768902,9.4,9.7,9.9
15.103361,9.4,9.7,9.9
15.426525,9.4,9.7,9.8
15.759479,9.4,9.7,9.8
16.103057,9.4,9.7,9.9
16.450403,9.4,9.7,9.9
16.786292,9.3,9.4,9.7
17.130295,9.4,9.7,9.8
17.466158,9.4,9.7,9.8
17.806531,9.4,9.7,9.8
18.161665,9.4,9.7,9.8
18.509526,9.4,9.7,9.8
18.860902,9.4,9.7,9.9
19.215432,9.4,9.7,9.8
19.551863,9.1,9.8,10.1
19.892282,9.7,9.7,9.7
20.246192,9.1,9.5,9.9
20.618447,9.2,9.6,8.9
20.968279,9.5,8.8,9.4
21.324152,10.1,9.0,9.4
21.675407,9.7,9.4,9.5
22.046364,8.9,10.0,10.4
22.412205,9.0,9.6,10.0
22.774941,9.3,9.1,9.6
23.174867,8.9,9.2,9.5
23.536829,10.1,9.2,9.4
23.898022,9.3,9.8,10.0
24.255186,9.6,9.8,10.0
24.610923,9.2,9.6,9.8
24.819203,9.2,9.7,9.8
25.169018,9.3,9.7,9.8
25.384787,9.3,9.7,9.9
25.614157,9.3,9.7,9.8
25.832719,9.3,9.7,9.8
26.039755,9.3,9.7,9.8
26.253645,9.3,9.7,9.9
26.482321,9.3,9.7,9.8
26.705117,9.3,9.7,9.9
26.930907,9.3,9.7,9.9
27.152224,9.3,9.7,9.8
27.379300,9.3,9.7,9.8
27.604252,9.3,9.7,9.8
27.835179,9.3,9.7,9.9
28.057630,9.3,9.7,9.8
28.287807,9.3,9.7,9.9
28.513386,9.3,9.7,9.8
28.737073,9.3,9.7,9.8
28.982368,9.3,9.7,9.9
29.208530,9.3,9.7,9.8
29.431670,9.3,9.7,9.8
29.665009,9.3,9.7,9.9
29.907344,9.3,9.7,9.9
30.147675,9.3,9.7,9.9
30.397251,9.3,9.7,9.9
30.641389,9.3,9.7,9.9
30.881860,9.3,9.7,9.8
31.126446,9.3,9.7,9.9
31.373820,9.3,9.7,9.8
31.617145,9.2,9.7,9.8
31.863690,9.2,9.7,9.9
32.125930,9.2,9.7,9.9
32.369926,9.2,9.7,9.9
32.635248,9.2,9.7,9.8
32.892490,9.2,9.7,9.9
33.155960,9.2,9.7,9.8
33.405624,9.2,9.7,9.8
33.652948,9.2,9.7,9.9
33.916648,9.2,9.7,9.9
34.183033,9.2,9.7,9.9
34.472532,9.2,9.7,9.8
34.735819,9.1,9.7,9.8
34.994593,9.2,9.7,9.9
35.258920,9.2,9.7,9.9
35.518782,9.2,9.7,9.8
35.782501,9.1,9.7,9.9
36.080267,9.1,9.7,9.8
36.360502,9.1,9.7,9.9
36.632028,9.1,9.7,9.9
36.891131,9.1,9.7,9.8
37.171231,9.1,9.7,9.9
37.441606,9.1,9.7,9.9
37.730451,9.1,9.7,9.8
38.012343,9.1,9.7,9.8
38.302560,9.0,9.7,9.9
38.602905,9.0,9.7,9.8
38.876142,9.0,9.7,9.8
39.156575,8.9,9.7,9.8
39.433154,8.9,9.7,9.8
39.721196,8.9,9.7,9.8
39.998257,8.9,9.7,9.9
40.281749,8.9,9.7,9.8
40.578370,8.9,9.7,9.8
40.893425,8.9,9.7,9.8
41.195416,8.9,9.7,9.8
41.495775,8.8,9.7,9.8
41.796353,8.8,9.7,9.8
42.084643,8.8,9.7,9.9
42.365581,8.7,9.7,9.8
42.660677,8.7,9.7,9.8
42.970183,8.7,9.7,9.8
43.270294,8.7,9.7,9.9
43.561656,8.7,9.7,9.8
43.874639,8.7,9.7,9.8
44.210780,8.6,9.7,9.8
44.543061,8.6,9.7,9.8
44.848648,8.6,9.7,9.8
45.156536,8.6,9.7,9.9
45.456496,8.6,9.7,9.9
45.764301,8.5,9.7,9.8
46.059732,8.5,9.7,9.8
46.369521,8.3,9.8,9.9
46.685584,9.7,9.7,9.8
