time_s,A,B,C
0.000001,-0.2000,0.6000,-0.2000
0.328449,-0.2000,0.6000,-0.2000
0.566537,-0.2000,0.6000,-0.2000
0.769670,-0.2000,0.6000,-0.1000
0.975292,-0.2000,0.6000,-0.2000
1.193619,-0.2000,0.6000,-0.2000
1.414706,-0.2000,0.6000,-0.2000
1.634855,-0.2000,0.6000,-0.2000
1.839781,-0.2000,0.6000,-0.2000
2.057604,-0.2000,0.6000,-0.2000
2.310740,-0.2000,0.6000,-0.1000
2.515249,-0.2000,0.6000,-0.2000
2.718742,-0.2000,0.6000,-0.2000
2.939643,-0.2000,0.5000,-0.2000
3.159240,-0.2000,0.6000,-0.2000
3.379724,-0.2000,0.5000,-0.2000
3.583835,-0.2000,0.6000,-0.2000
3.788707,-0.2000,0.6000,-0.2000
3.996779,-0.2000,0.6000,-0.2000
4.202263,-0.2000,0.6000,-0.2000
4.406579,-0.2000,0.6000,-0.2000
4.632497,-0.2000,0.6000,-0.2000
4.846530,-0.2000,0.5000,-0.2000
5.081420,-0.2000,0.6000,-0.2000
5.313499,-0.2000,0.6000,-0.2000
5.535141,-0.2000,0.6000,-0.2000
5.741129,-0.2000,0.6000,-0.1000
5.946624,-0.2000,0.6000,-0.2000
6.150623,-0.2000,0.5000,-0.2000
6.371647,-0.2000,0.6000,-0.2000
6.592260,-0.2000,0.6000,-0.2000
6.807048,-0.2000,0.6000,-0.2000
7.013848,-0.2000,0.6000,-0.2000
7.221417,-0.2000,0.6000,-0.2000
7.426641,-0.2000,0.6000,-0.2000
7.631465,-0.2000,0.6000,-0.2000
7.849716,-0.2000,0.5000,-0.2000
8.064893,-0.2000,0.5000,-0.2000
8.329654,-0.2000,0.6000,-0.2000
8.537079,-0.2000,0.5000,-0.2000
8.763038,-0.2000,0.6000,-0.2000
9.000997,-0.2000,0.6000,-0.2000
9.207724,-0.2000,0.6000,-0.2000
9.416292,-0.2000,0.5000,-0.2000
9.626795,-0.2000,0.6000,-0.2000
9.845634,-0.2000,0.6000,-0.2000
