time_s,A,B,C
0.000001,9.7,9.7,9.8
0.241141,9.8,9.7,9.9
0.482088,9.7,9.7,9.8
0.715530,9.7,9.7,9.8
0.935378,9.7,9.7,10.0
1.154344,9.7,9.5,10.4
1.401194,9.8,9.7,9.8
1.624735,9.8,9.7,9.9
1.844155,9.7,9.7,9.8
2.060541,9.8,9.7,9.8
2.280282,9.7,9.7,9.8
2.528861,9.7,9.7,9.8
2.747069,9.7,9.7,9.8
2.965540,9.7,9.7,9.8
3.183898,9.7,9.7,9.8
3.402337,9.8,9.7,9.8
3.657159,9.8,9.7,9.8
3.872940,9.7,9.7,9.8
4.092921,9.8,9.7,9.8
4.297115,9.7,9.7,9.8
4.526186,9.7,9.7,9.8
4.777326,9.7,9.7,9.8
4.991686,9.8,9.7,9.8
5.199114,9.8,9.7,9.9
5.410769,9.7,9.7,9.8
5.770740,9.7,9.7,9.8
6.044190,9.8,9.7,9.8
6.268758,9.7,9.7,9.8
6.532938,9.7,9.7,9.8
6.762056,9.8,9.7,9.8
7.108176,9.8,9.7,9.8
7.316452,9.7,9.7,9.8
7.524283,9.7,9.7,9.8
7.733541,9.8,9.7,9.9
7.966592,9.7,9.7,9.8
8.228929,9.8,9.7,9.9
8.451806,9.7,9.7,9.8
8.669180,9.8,9.7,9.8
8.875612,9.7,9.7,9.8
9.091705,9.7,9.7,9.8
9.363943,9.7,9.7,9.8
9.572449,9.8,9.7,9.8
9.791497,9.8,9.7,9.8
10.009304,9.8,9.7,9.8
10.422287,9.8,9.7,9.8
10.744891,9.7,9.7,9.8
10.994449,9.7,9.8,9.8
11.290284,9.7,9.7,9.9
11.501035,9.8,9.7,9.9
11.747652,9.7,9.7,9.9
11.973960,9.8,9.7,9.9
12.191496,9.7,9.7,9.9
12.409569,9.7,9.7,9.9
12.624106,9.7,9.7,9.9
12.862825,9.7,9.7,9.9
13.082756,9.7,9.7,9.9
13.318201,9.7,9.7,9.9
13.552578,9.7,9.7,9.9
13.772453,9.7,9.7,9.9
14.041984,9.8,9.7,9.9
14.259455,9.8,9.7,9.9
14.493212,9.7,9.7,9.9
14.711729,9.7,9.7,9.9
14.960004,9.7,9.7,9.9
15.209806,9.7,9.7,9.9
15.424531,9.8,9.7,9.9
15.684756,9.8,9.7,9.9
15.904813,9.7,9.7,9.9
16.109805,9.7,9.7,9.9
16.351916,9.7,9.7,9.9
16.562973,9.7,9.7,9.9
16.766343,9.8,9.7,9.9
16.984520,9.7,9.7,9.9
17.205690,9.7,9.7,9.9
17.462402,9.7,9.7,9.9
17.704056,9.7,9.7,9.9
17.920098,9.7,9.7,9.9
18.153828,9.8,9.7,9.9
18.372437,9.7,9.7,9.9
18.629434,9.7,9.7,9.9
18.871733,9.7,9.7,9.9
19.104576,9.7,9.7,9.9
19.323044,9.7,9.7,9.9
19.555458,9.7,9.7,9.9
19.880427,9.7,9.7,9.9
20.094800,9.7,9.7,9.9
20.318725,9.7,9.7,9.9
20.539743,9.7,9.7,9.9
20.774563,9.7,9.7,9.9
21.034947,9.7,9.7,9.9
21.256703,9.7,9.7,9.9
21.479393,9.7,9.7,9.9
21.725726,9.7,9.7,9.9
21.943090,9.7,9.7,9.9
22.186938,9.8,9.7,9.9
22.391898,9.7,9.7,9.9
22.598845,9.7,9.7,9.9
22.804352,9.7,9.7,9.9
23.021727,9.7,9.7,9.9
23.326587,9.7,9.7,9.9
23.535779,9.7,9.7,9.9
23.754170,9.7,9.7,9.9
23.972536,9.7,9.7,9.9
24.205845,9.7,9.7,9.9
24.483376,9.7,9.7,9.9
24.719135,9.7,9.7,9.9
24.932040,9.7,9.7,9.9
25.255241,9.7,9.7,9.9
25.510504,9.7,9.7,9.9
25.732265,9.7,9.7,9.9
25.935797,9.7,9.7,9.9
26.147139,9.7,9.7,9.9
26.366711,9.7,9.7,9.9
26.643179,9.8,9.7,9.9
26.857448,9.7,9.7,9.9
27.107168,9.7,9.7,9.9
27.324642,9.7,9.7,9.9
27.530235,9.7,9.7,9.9
27.803102,9.7,9.7,9.9
28.031760,9.7,9.7,9.9
28.249177,9.7,9.7,9.9
28.468194,9.7,9.7,9.9
28.701790,9.7,9.7,9.9
28.994898,9.7,9.7,9.9
29.216295,9.7,9.7,9.9
29.434378,9.7,9.7,9.9
29.668649,9.7,9.7,9.9
29.902969,9.7,9.7,9.9
30.209979,9.7,9.8,9.9
30.417632,9.7,9.7,9.9
30.652595,9.7,9.8,9.9
30.870570,9.7,9.7,9.9
31.116052,9.7,9.7,9.9
31.408525,9.7,9.7,9.9
31.617154,9.8,9.7,9.9
31.834679,9.8,9.7,9.9
32.053128,9.8,9.7,9.9
32.287843,9.7,9.7,9.9
32.566002,9.7,9.7,9.9
32.806479,9.7,9.7,9.9
33.042442,9.7,9.7,9.9
33.261661,9.7,9.7,9.9
33.478332,9.7,9.7,9.9
33.779920,9.7,9.7,9.9
34.012321,9.8,9.7,9.9
34.231578,9.7,9.7,9.9
34.451845,9.7,9.7,9.9
34.685843,9.7,9.7,9.9
34.953049,9.7,9.7,9.9
35.168898,9.7,9.7,9.9
35.388526,9.7,9.7,9.9
35.592720,9.7,9.7,9.9
35.808130,9.7,9.7,9.9
36.073611,9.7,9.7,9.9
36.287303,9.7,9.7,9.9
36.491767,9.7,9.7,9.9
36.725106,9.7,9.7,9.9
36.944192,9.7,9.7,9.9
37.202437,9.7,9.7,9.9
37.427750,9.7,9.7,9.9
37.676887,9.8,9.7,9.9
37.910677,9.7,9.7,9.9
38.129428,9.7,9.7,9.9
38.383657,9.8,9.7,9.9
38.597864,9.7,9.7,9.9
38.831945,9.7,9.7,9.9
39.053846,9.7,9.7,9.9
39.271304,9.7,9.7,9.9
39.547395,9.7,9.7,9.9
39.754116,9.7,9.7,9.9
39.960698,9.7,9.7,9.9
40.171190,9.7,9.7,9.9
40.421235,9.7,9.7,9.9
40.727236,9.7,9.7,9.9
40.950467,9.7,9.7,9.9
41.169797,9.7,9.7,9.9
41.388917,9.8,9.7,9.9
41.623476,9.7,9.7,9.9
41.882793,9.7,9.7,9.9
42.107204,9.7,9.7,9.9
