time_s,A,B,C
0.000001,9.7,9.7,9.8
0.250746,9.7,9.7,9.8
0.501030,9.8,9.7,9.8
0.718421,9.7,9.7,9.8
0.965933,9.8,9.7,9.9
1.277517,9.7,9.7,9.8
1.480668,9.7,9.7,9.8
1.697345,9.8,9.7,9.8
1.959853,9.7,9.7,9.8
2.178963,9.7,9.7,9.8
2.445035,9.7,9.7,9.8
2.662170,9.7,9.7,9.8
2.880011,9.7,9.7,9.8
3.097183,9.7,9.7,9.8
3.300362,9.8,9.7,9.8
3.560107,9.7,9.7,9.8
3.781626,9.7,9.7,9.8
3.998128,9.8,9.7,9.9
4.245286,9.7,9.7,9.8
4.462698,9.7,9.7,9.8
4.741762,9.7,9.7,9.8
4.971863,9.7,9.7,9.8
5.176140,9.7,9.7,9.8
5.392971,9.7,9.7,9.8
5.610203,9.7,9.7,9.8
5.928934,9.8,9.7,9.8
6.153870,9.7,9.7,9.8
6.387236,9.7,9.7,9.8
6.606427,9.7,9.7,9.8
6.825005,9.8,9.7,9.8
7.091687,9.8,9.7,9.8
7.313227,9.7,9.7,9.2
7.520275,9.0,9.3,9.7
7.738644,9.8,9.8,9.9
7.957049,9.7,9.6,9.8
8.232704,9.8,9.7,9.8
8.456624,9.7,9.7,9.8
8.673276,9.8,9.7,9.9
8.890982,9.7,9.7,9.8
9.093446,9.8,9.9,9.6
9.371641,9.7,9.7,9.8
9.584530,9.3,9.3,9.7
9.788670,9.6,9.6,9.9
9.993395,9.6,9.5,9.9
10.200955,9.7,8.9,9.2
10.472633,9.6,9.5,10.1
10.697261,9.5,9.6,9.8
10.950914,10.2,9.9,9.9
11.163589,9.7,9.6,9.8
11.457309,9.6,9.7,9.8
11.666811,9.3,9.3,9.7
11.893681,9.9,9.8,9.8
12.118530,10.0,9.8,9.9
12.341326,10.3,10.1,10.1
12.642064,9.8,10.0,9.5
12.897517,9.7,9.7,10.3
13.116774,9.4,9.4,9.7
13.350692,9.4,9.6,9.6
13.641884,9.8,9.4,10.2
13.889960,9.7,9.7,9.7
14.118611,10.0,9.9,9.9
14.334966,9.1,9.1,9.8
14.642517,9.8,9.7,9.5
14.889843,9.8,9.7,9.9
15.114571,9.2,9.3,9.6
15.334954,9.9,9.7,10.3
15.633643,9.7,9.6,9.8
15.902475,9.6,9.5,9.8
16.125522,9.3,9.4,9.6
16.348784,9.8,9.7,10.2
16.646607,9.6,9.6,10.0
16.897392,9.8,9.7,9.8
17.138063,10.2,10.0,10.2
17.385704,9.7,10.0,9.9
17.702730,9.8,9.9,9.9
17.967487,9.9,9.8,9.9
18.210249,10.1,9.9,9.9
18.438903,9.8,9.8,10.4
18.754299,9.6,9.6,10.1
18.980645,10.0,9.8,10.0
19.225779,10.1,10.0,9.9
19.489530,9.6,9.8,10.2
19.808518,9.9,9.2,9.6
20.054764,9.7,9.6,9.7
20.295518,9.4,9.5,9.7
20.544040,10.1,10.0,9.9
20.912298,10.1,9.9,9.8
21.241372,9.9,9.7,10.1
21.484799,9.8,9.8,9.6
21.727904,9.7,9.7,9.9
22.064353,9.9,9.8,9.9
22.314325,9.9,9.7,10.0
22.590800,10.2,10.1,10.1
22.839811,9.9,9.9,9.4
23.153283,9.6,9.6,10.0
23.406166,9.7,9.6,9.7
23.663230,10.1,9.9,10.1
23.907224,9.8,8.9,9.6
