time_s,A,B,C
0.000002,-0.4,0.5,-0.0
0.255404,-0.4,0.5,-0.0
0.475871,-0.4,0.5,-0.0
0.694096,-0.4,0.5,-0.0
0.912442,-0.4,0.5,-0.0
1.117161,-0.4,0.5,-0.0
1.354776,-0.4,0.5,-0.0
1.581437,-0.4,0.5,-0.0
1.798500,-0.4,0.5,-0.0
2.045975,-0.4,0.5,-0.0
2.262827,-0.4,0.5,-0.0
2.501751,-0.4,0.5,-0.0
2.715498,-0.4,0.5,-0.0
2.941575,-0.4,0.5,-0.0
3.162385,-0.4,0.5,-0.0
3.380127,-0.4,0.5,-0.0
3.638951,-0.4,0.5,-0.0
3.865157,-0.4,0.5,0.0
4.082177,-0.4,0.5,-0.0
4.300277,-0.4,0.5,-0.0
4.517859,-0.4,0.5,-0.0
4.772340,-0.4,0.5,-0.0
4.985823,-0.4,0.5,-0.0
5.217566,-0.4,0.5,-0.0
5.450626,-0.4,0.5,-0.0
5.669517,-0.4,0.5,-0.0
5.916603,-0.4,0.5,-0.0
6.137412,-0.4,0.5,-0.0
6.355496,-0.4,0.5,-0.0
6.574209,-0.4,0.5,-0.0
6.791259,-0.4,0.5,-0.0
7.048332,-0.4,0.5,-0.0
7.272519,-0.4,0.5,-0.0
7.506346,-0.4,0.5,-0.0
7.726006,-0.4,0.5,-0.0
7.943181,-0.4,0.5,-0.0
8.188051,-0.4,0.5,-0.0
8.424363,-0.4,0.5,-0.0
8.644080,-0.4,0.5,-0.0
8.875748,-0.4,0.5,-0.0
9.095492,-0.4,0.5,-0.1
9.365078,-0.4,0.5,-0.0
9.577145,-0.4,0.5,-0.0
9.810586,-0.4,0.5,-0.0
10.027022,-0.4,0.5,-0.0
10.261713,-0.4,0.5,-0.0
10.523177,-0.4,0.5,-0.0
10.743443,-0.4,0.5,-0.0
10.961239,-0.4,0.5,-0.0
11.178288,-0.4,0.5,-0.0
11.411627,-0.4,0.5,-0.0
11.676075,-0.4,0.5,-0.0
11.891017,-0.4,0.5,-0.0
12.109244,-0.4,0.5,-0.0
12.342657,-0.4,0.5,-0.0
12.561462,-0.4,0.6,-0.0
12.843026,-0.4,0.5,-0.0
13.107845,-0.4,0.5,-0.0
13.325075,-0.4,0.5,-0.0
13.540721,-0.4,0.5,-0.0
13.819050,-0.4,0.5,-0.0
14.041535,-0.4,0.5,-0.0
14.271088,-0.4,0.5,-0.0
14.487909,-0.4,0.5,-0.0
14.703278,-0.4,0.5,-0.0
15.002030,-0.4,0.5,-0.0
15.244642,-0.4,0.5,-0.0
15.461397,-0.4,0.5,-0.0
15.673590,-0.4,0.5,-0.0
15.894940,-0.4,0.5,-0.0
16.163552,-0.4,0.5,-0.0
16.436643,-0.4,0.5,-0.0
16.649834,-0.4,0.5,-0.0
16.878749,-0.4,0.5,-0.0
17.160669,-0.4,0.5,-0.0
17.421685,-0.4,0.6,-0.0
17.645697,-0.4,0.5,-0.0
17.871833,-0.4,0.5,-0.0
18.161742,-0.4,0.6,-0.0
18.414753,-0.4,0.5,-0.0
18.638326,-0.4,0.5,-0.0
18.871693,-0.4,0.5,-0.0
19.162497,-0.4,0.5,-0.0
19.396927,-0.4,0.5,-0.0
19.622738,-0.4,0.5,-0.0
19.850884,-0.4,0.5,-0.0
20.145160,-0.4,0.5,-0.0
20.371312,-0.4,0.5,-0.0
20.597114,-0.4,0.5,-0.0
20.826591,-0.4,0.5,-0.0
21.047115,-0.4,0.5,-0.0
21.336541,-0.4,0.5,-0.0
21.574584,-0.4,0.5,-0.0
21.795562,-0.4,0.5,-0.0
22.037845,-0.4,0.5,-0.0
22.333559,-0.4,0.5,-0.0
22.583223,-0.4,0.5,-0.0
22.820132,-0.4,0.5,-0.0
23.064221,-0.4,0.5,-0.0
23.369036,-0.4,0.6,-0.1
23.603917,-0.4,0.5,-0.0
23.849036,-0.4,0.6,-0.0
24.097684,-0.4,0.5,-0.1
24.400825,-0.4,0.5,-0.0
24.636853,-0.4,0.5,-0.0
24.885095,-0.4,0.5,-0.0
25.128048,-0.4,0.5,-0.0
25.456289,-0.4,0.6,-0.0
25.696109,-0.4,0.5,-0.0
25.943515,-0.4,0.5,-0.0
26.179368,-0.4,0.5,-0.0
26.524816,-0.4,0.5,-0.0
26.782354,-0.4,0.5,-0.0
27.040413,-0.4,0.5,-0.0
27.293398,-0.4,0.5,-0.0
27.598238,-0.4,0.5,-0.0
27.854116,-0.4,0.5,-0.0
28.123073,-0.4,0.5,-0.0
28.399405,-0.4,0.5,-0.0
28.713001,-0.4,0.5,-0.0
28.969443,-0.4,0.5,-0.0
29.225258,-0.4,0.5,-0.0
29.491327,-0.4,0.5,-0.0
29.816380,-0.4,0.5,-0.0
30.082364,-0.4,0.5,-0.0
30.332523,-0.4,0.5,-0.0
30.577547,-0.4,0.5,-0.0
30.917274,-0.4,0.5,-0.0
31.185527,-0.4,0.5,-0.0
31.460874,-0.4,0.5,-0.0
31.728969,-0.4,0.5,-0.0
32.060315,-0.4,0.5,-0.0
32.323891,-0.4,0.5,-0.0
32.592092,-0.4,0.5,-0.0
32.853570,-0.4,0.5,-0.0
33.195359,-0.4,0.5,-0.0
33.518330,-0.4,0.5,-0.0
33.775433,-0.4,0.5,-0.0
34.111910,-0.4,0.5,-0.0
34.383950,-0.4,0.5,-0.0
34.639779,-0.4,0.5,-0.0
34.916306,-0.4,0.5,-0.0
35.261048,-0.4,0.5,-0.0
35.526180,-0.4,0.5,-0.0
35.784686,-0.4,0.5,-0.1
36.050593,-0.4,0.5,-0.0
36.385671,-0.4,0.5,-0.0
36.650356,-0.4,0.5,-0.0
36.915062,-0.4,0.5,-0.0
37.174096,-0.4,0.5,-0.0
37.513166,-0.5,0.5,0.0
37.779004,-0.4,0.5,-0.1
38.004938,-0.5,0.5,-0.0
38.225615,-0.5,0.6,0.0
38.453291,-0.5,0.6,-0.0
38.674911,-0.5,0.5,-0.1
38.883259,-0.4,0.5,-0.0
39.208660,-0.5,0.5,-0.1
39.447739,-0.4,0.5,-0.0
39.676042,-0.4,0.5,-0.0
39.899237,-0.4,0.5,-0.0
40.125099,-0.4,0.5,-0.0
40.351345,-0.4,0.5,-0.0
40.576231,-0.4,0.5,-0.0
40.798429,-0.4,0.5,-0.0
41.028501,-0.4,0.5,-0.0
41.249188,-0.4,0.5,-0.0
41.478343,-0.4,0.5,-0.0
41.706508,-0.4,0.5,-0.0
41.945506,-0.4,0.5,-0.0
42.176726,-0.4,0.5,-0.0
42.422600,-0.4,0.5,-0.0
42.644255,-0.4,0.5,-0.0
42.872700,-0.5,0.5,-0.0
43.097211,-0.5,0.5,-0.1
43.317012,-0.4,0.5,-0.0
43.550710,-0.4,0.5,-0.0
