time_s,A,B,C
0.000001,9.7000,9.8000,9.9000
0.310020,9.7000,9.8000,9.9000
0.529721,9.8000,9.7000,9.9000
0.749884,9.8000,9.8000,9.9000
0.953966,9.8000,9.8000,9.9000
1.159497,9.7000,9.8000,9.9000
1.380145,9.8000,9.8000,9.9000
1.615241,9.7000,9.7000,9.9000
1.837377,9.8000,9.8000,9.9000
2.043583,9.8000,9.7000,9.9000
2.247914,9.7000,9.7000,9.9000
2.453625,9.7000,9.7000,9.9000
2.659805,9.7000,9.7000,9.9000
2.865663,9.7000,9.7000,9.9000
3.085612,9.7000,9.8000,9.9000
3.305776,9.8000,9.8000,9.9000
3.526341,9.8000,9.8000,9.9000
3.731477,9.8000,9.7000,9.9000
3.937616,9.7000,9.7000,9.9000
4.142903,9.7000,9.7000,9.9000
4.380654,9.8000,9.7000,9.9000
4.614257,9.7000,9.7000,9.9000
4.821408,9.7000,9.7000,9.9000
5.040769,9.7000,9.8000,9.9000
5.260317,9.8000,9.7000,9.9000
5.479099,9.7000,9.8000,9.9000
5.698763,9.8000,9.7000,9.9000
5.916495,9.8000,9.7000,9.9000
6.136741,9.8000,9.7000,9.9000
6.359056,9.8000,9.7000,9.9000
6.578270,9.7000,9.7000,9.9000
6.799110,9.8000,9.8000,9.9000
7.034352,9.8000,9.7000,9.9000
7.255712,9.7000,9.8000,9.9000
7.459643,9.7000,9.7000,9.9000
7.678454,9.7000,9.8000,9.9000
7.901332,9.7000,9.7000,9.9000
8.119997,9.8000,9.8000,9.9000
8.324050,9.7000,9.7000,9.9000
8.541656,9.7000,9.8000,9.9000
8.760464,9.8000,9.7000,9.9000
8.992211,9.7000,9.7000,9.9000
9.212813,9.8000,9.7000,9.9000
9.435075,9.8000,9.7000,9.9000
9.657205,9.7000,9.7000,9.9000
9.860313,9.8000,9.7000,9.9000
10.080032,9.8000,9.8000,9.9000
10.300484,9.8000,9.8000,9.9000
10.524006,9.8000,9.7000,9.9000
