time_s,A,B,C
0.000001,-0.2,,-0.1
0.180687,-0.1,,-0.1
0.346509,-0.2,,-0.1
0.522190,-0.1,,-0.1
0.707716,-0.2,,-0.1
0.895326,-0.2,,-0.1
1.120684,-0.1,,-0.1
1.315442,-0.2,,-0.1
1.500123,-0.1,,-0.1
1.686367,-0.1,,-0.1
1.871801,-0.1,,-0.1
2.057087,-0.2,,-0.1
2.283963,-0.1,,-0.1
2.475311,-0.2,,-0.1
2.694362,-0.2,,-0.1
2.864148,-0.2,,-0.1
3.050437,-0.2,,-0.1
3.222296,-0.2,,-0.1
3.481450,-0.2,,-0.1
3.685833,-0.1,,-0.1
3.855159,-0.1,,-0.1
4.026796,-0.2,,-0.1
4.213508,-0.2,,-0.1
4.398514,-0.1,,-0.1
4.608438,-0.1,,-0.1
4.835144,-0.2,,-0.1
5.050096,-0.1,,-0.1
5.223609,-0.1,,-0.1
5.394319,-0.2,,-0.1
5.646716,-0.1,,-0.1
5.828391,-0.2,,-0.1
6.013494,-0.2,,-0.1
6.198433,-0.1,,-0.1
6.384142,-0.1,,-0.1
6.593229,-0.2,,-0.1
6.806454,-0.2,,-0.1
7.003987,-0.2,,-0.1
7.173763,-0.2,,-0.1
7.344106,-0.1,,-0.1
7.529276,-0.2,,-0.1
7.700672,-0.2,,-0.1
7.932165,-0.1,,-0.1
8.119914,-0.2,,-0.1
8.304930,-0.2,,-0.1
8.491671,-0.1,,-0.1
8.677562,-0.1,,-0.1
8.864716,-0.1,,-0.1
9.094227,-0.2,,-0.1
9.284234,-0.1,,-0.1
9.485692,-0.2,,-0.1
9.670443,-0.1,,-0.1
9.852464,-0.1,,-0.1
10.025070,-0.1,,-0.1
10.245383,-0.1,,-0.1
10.419180,-0.1,,-0.1
10.614407,-0.1,,-0.1
10.813401,-0.2,,-0.1
10.977978,-0.2,,-0.1
11.156748,-0.2,,-0.1
11.388448,-0.2,,-0.1
