time_s,A,B,C
0.000002,-0.2000,0.5000,-0.1000
0.210092,-0.2000,0.4000,-0.1000
0.488684,-0.2000,0.5000,-0.2000
0.755998,-0.2000,0.4000,-0.1000
0.976956,-0.2000,0.5000,-0.1000
1.199093,-0.2000,0.5000,-0.1000
1.417085,-0.2000,0.5000,-0.1000
1.871429,-0.2000,0.5000,-0.1000
2.163493,-0.2000,0.5000,-0.1000
2.428312,-0.2000,0.5000,-0.2000
2.719649,-0.2000,0.5000,-0.1000
2.962712,-0.2000,0.4000,-0.1000
3.327352,-0.2000,0.5000,-0.2000
3.549922,-0.2000,0.5000,-0.2000
3.779909,-0.2000,0.5000,-0.2000
4.001971,-0.2000,0.4000,-0.1000
4.290989,-0.2000,0.5000,-0.1000
4.506037,-0.2000,0.5000,-0.2000
4.758911,-0.2000,0.5000,-0.2000
4.971671,-0.2000,0.5000,-0.2000
5.209620,-0.2000,0.5000,-0.1000
5.482107,-0.2000,0.5000,-0.1000
5.738883,-0.2000,0.5000,-0.2000
5.959233,-0.2000,0.4000,-0.2000
6.198602,-0.2000,0.5000,-0.2000
6.426651,-0.2000,0.5000,-0.1000
6.861805,-0.2000,0.5000,-0.1000
7.104834,-0.2000,0.5000,-0.1000
7.383994,-0.2000,0.4000,-0.1000
7.676269,-0.2000,0.5000,-0.2000
7.906627,-0.2000,0.5000,-0.1000
8.157288,-0.2000,0.5000,-0.1000
8.496843,-0.2000,0.5000,-0.1000
8.799849,-0.2000,0.5000,-0.1000
9.039895,-0.2000,0.5000,-0.1000
9.279261,-0.2000,0.5000,-0.1000
9.499697,-0.2000,0.5000,-0.1000
9.802655,-0.2000,0.4000,-0.2000
10.038146,-0.2000,0.4000,-0.1000
10.289903,-0.2000,0.4000,-0.2000
10.507571,-0.2000,0.4000,-0.2000
10.803918,-0.2000,0.5000,-0.2000
11.016397,-0.2000,0.5000,-0.1000
11.276367,-0.2000,0.5000,-0.2000
11.502426,-0.2000,0.5000,-0.2000
11.730127,-0.2000,0.5000,-0.1000
12.039623,-0.2000,0.5000,-0.2000
12.263994,-0.2000,0.5000,-0.2000
12.475023,-0.2000,0.5000,-0.1000
12.764489,-0.2000,0.5000,-0.1000
13.114839,-0.2000,0.5000,-0.1000
13.396344,-0.2000,0.5000,-0.2000
13.647486,-0.2000,0.5000,-0.1000
13.890864,-0.2000,0.5000,-0.2000
14.197316,-0.2000,0.5000,-0.2000
14.411964,-0.2000,0.5000,-0.1000
14.704610,-0.2000,0.5000,-0.1000
14.948746,-0.2000,0.4000,-0.2000
15.272578,-0.2000,0.4000,-0.2000
15.495420,-0.2000,0.5000,-0.2000
15.729879,-0.2000,0.5000,-0.1000
15.961153,-0.2000,0.5000,-0.2000
16.315771,-0.2000,0.5000,-0.1000
16.525286,-0.2000,0.5000,-0.1000
16.771507,-0.2000,0.4000,-0.2000
16.997273,-0.2000,0.4000,-0.1000
17.320221,-0.2000,0.5000,-0.1000
17.536511,-0.2000,0.5000,-0.2000
17.793420,-0.2000,0.4000,-0.2000
18.016631,-0.2000,0.5000,-0.2000
18.334482,-0.2000,0.4000,-0.2000
18.591947,-0.2000,0.5000,-0.2000
18.832687,-0.2000,0.5000,-0.1000
19.073615,-0.1000,0.5000,-0.2000
19.421889,-0.2000,0.5000,-0.1000
19.689340,-0.2000,0.5000,-0.1000
19.909679,-0.2000,0.5000,-0.1000
20.126967,-0.2000,0.5000,-0.1000
20.463024,-0.2000,0.4000,-0.1000
20.790193,-0.2000,0.5000,-0.1000
21.018590,-0.2000,0.4000,-0.2000
21.244814,-0.2000,0.5000,-0.2000
21.529568,-0.2000,0.5000,-0.2000
21.759351,-0.2000,0.5000,-0.2000
22.003950,-0.2000,0.4000,-0.1000
22.272894,-0.2000,0.4000,-0.1000
22.559564,-0.2000,0.5000,-0.1000
22.771685,-0.2000,0.5000,-0.1000
23.078858,-0.2000,0.5000,-0.1000
23.301323,-0.2000,0.5000,-0.2000
23.629625,-0.2000,0.4000,-0.2000
23.854141,-0.2000,0.5000,-0.2000
24.073528,-0.2000,0.4000,-0.1000
24.295571,-0.2000,0.5000,-0.2000
24.508855,-0.2000,0.4000,-0.2000
24.798949,-0.1000,0.5000,-0.1000
25.063159,-0.2000,0.5000,-0.1000
25.287966,-0.2000,0.5000,-0.1000
25.505683,-0.2000,0.5000,-0.1000
25.803271,-0.2000,0.5000,-0.2000
26.012565,-0.2000,0.5000,-0.2000
26.243391,-0.2000,0.5000,-0.1000
26.460850,-0.2000,0.5000,-0.1000
26.690998,-0.2000,0.5000,-0.1000
27.038807,-0.2000,0.5000,-0.2000
27.248684,-0.2000,0.5000,-0.1000
