time_s,A,B,C
0.000000,9.7,9.7,9.9
0.208593,9.7,9.7,9.8
0.421954,9.7,9.7,9.8
0.691789,9.7,9.7,9.8
0.902206,9.7,9.7,9.8
1.120364,9.7,9.7,9.8
1.337369,9.7,9.7,9.9
1.554169,9.7,9.7,9.8
1.804918,9.7,9.7,9.8
2.007995,9.7,9.7,9.8
2.222615,9.7,9.7,9.8
2.440163,9.7,9.7,9.8
2.656126,9.7,9.7,9.8
2.917375,9.7,9.7,9.8
3.137267,9.7,9.7,9.9
3.340010,9.7,9.7,9.8
3.546451,9.7,9.7,9.8
3.759721,9.7,9.7,9.8
4.033557,9.7,9.7,9.8
4.260228,9.7,9.7,9.8
4.465280,9.7,9.7,9.9
4.681528,9.7,9.7,9.8
4.915634,9.7,9.7,9.8
5.165331,9.8,9.7,9.8
5.398129,9.7,9.7,9.8
5.614913,9.8,9.7,9.8
5.848305,9.7,9.7,9.8
6.066338,9.8,9.7,9.8
6.353839,9.7,9.7,9.8
6.565042,9.7,9.7,9.9
6.813536,9.7,9.7,9.8
7.045445,9.7,9.7,9.9
7.396459,9.8,9.7,9.9
7.620332,9.7,9.7,9.9
7.868053,9.8,9.7,9.8
8.084349,9.7,9.7,9.8
8.304032,9.7,9.8,9.9
8.613040,9.7,9.7,9.8
8.817665,9.8,9.7,9.9
9.021869,9.7,9.8,9.8
9.273364,9.8,9.7,9.9
9.498295,9.7,9.7,9.8
9.780390,9.7,9.7,9.8
9.996349,9.7,9.7,9.8
10.220446,9.7,9.7,9.9
10.452144,9.7,9.7,9.9
10.699656,9.7,9.7,9.8
10.987139,9.7,9.7,9.8
11.210226,9.7,9.7,9.8
11.424660,9.7,9.7,9.8
11.628814,9.7,9.7,9.8
11.846201,9.7,9.7,9.8
12.124143,9.7,9.7,9.9
12.343734,9.7,9.7,9.8
12.561288,9.7,9.7,9.8
12.771965,9.7,9.7,9.8
12.981223,9.7,9.7,9.9
13.272245,9.7,9.7,9.8
13.499533,9.7,9.7,9.9
13.709399,9.7,9.7,9.8
13.926907,9.7,9.7,9.8
14.143716,9.7,9.7,9.8
14.415115,9.7,9.7,9.8
14.650111,9.7,9.7,9.9
14.857850,9.7,9.7,9.8
15.088917,9.7,9.7,9.8
15.365108,9.7,9.7,9.8
15.699388,9.7,9.7,9.9
15.902484,9.7,9.7,9.9
16.120031,9.7,9.7,9.8
16.334619,9.7,9.7,9.8
16.540954,9.7,9.7,9.8
16.817750,9.7,9.7,9.8
17.027505,9.7,9.7,9.9
17.252774,9.7,9.7,9.9
17.470299,9.7,9.7,9.8
17.686407,9.7,9.7,9.8
17.952148,9.7,9.7,9.8
18.184947,9.7,9.7,9.8
18.405222,9.7,9.7,9.8
18.623791,9.7,9.7,9.8
18.840390,9.7,9.7,9.8
19.099685,9.7,9.7,9.8
19.337808,9.7,9.7,9.9
19.562137,9.7,9.7,9.8
