timestamp,Force,Accelerationx,Accelerationy
0.05113077163696289,1.68,0.7,9.6
0.1053473949432373,1.67,0.7,9.6
0.16141176223754883,1.69,0.7,9.6
0.2164463996887207,1.68,0.7,9.6
0.271334171295166,1.67,0.7,9.6
0.3266727924346924,1.65,0.7,9.7
0.38066935539245605,1.71,0.7,9.7
0.437849760055542,1.67,0.7,9.7
0.4910087585449219,1.69,0.7,9.7
0.5461909770965576,1.69,0.7,9.6
0.6005163192749023,1.67,0.7,9.6
0.6556758880615234,1.69,0.7,9.6
0.7333400249481201,1.68,0.7,9.7
0.8081803321838379,1.68,0.7,9.6
0.8837144374847412,1.67,0.7,9.6
0.9596056938171387,1.68,0.7,9.6
1.0339808464050293,1.69,0.6,9.6
1.108821153640747,1.69,0.7,9.7
1.1840105056762695,1.69,0.7,9.7
1.2591209411621094,1.68,0.7,9.6
1.3335049152374268,1.68,0.7,9.7
1.4084393978118896,1.7,0.7,9.6
1.4838361740112305,1.71,0.7,9.6
1.558748722076416,1.7,0.7,9.6
1.6342365741729736,1.7,0.7,9.7
1.7090942859649658,1.71,0.7,9.6
1.7843174934387207,1.72,0.7,9.6
1.858769178390503,1.7,0.7,9.6
1.9338359832763672,1.67,0.7,9.7
2.0094573497772217,1.7,0.7,9.6
2.0836915969848633,1.69,0.7,9.7
2.1591851711273193,1.71,0.7,9.7
2.2339768409729004,1.7,0.7,9.6
2.309098243713379,1.67,0.7,9.6
2.3836417198181152,1.7,0.7,9.6
2.4589755535125732,1.69,0.7,9.7
2.534869909286499,1.69,0.7,9.6
2.6086533069610596,1.69,0.7,9.6
2.683654308319092,1.71,0.7,9.6
2.758472442626953,1.67,0.7,9.7
2.8338332176208496,1.68,0.7,9.7
2.90944504737854,1.67,0.7,9.6
2.983083963394165,1.7,0.7,9.7
3.0584208965301514,1.7,0.6,9.6
3.1343512535095215,1.69,0.7,9.6
3.2088286876678467,1.71,0.7,9.6
3.2841732501983643,1.69,0.7,9.7
3.3589701652526855,1.68,0.7,9.6
3.4343602657318115,1.72,0.7,9.7
3.508925199508667,1.72,0.7,9.7
3.5841927528381348,1.69,0.6,9.6
3.6590566635131836,1.68,0.7,9.6
3.733898162841797,1.69,0.7,9.7
3.8089072704315186,1.67,0.7,9.7
3.883749008178711,1.69,0.7,9.7
3.9582371711730957,1.71,0.7,9.7
4.03411078453064,1.7,0.7,9.6
4.1094536781311035,1.69,0.7,9.6
4.183920383453369,1.68,0.7,9.7
4.25931715965271,1.68,0.7,9.6
4.33354115486145,1.68,0.7,9.7
4.40898871421814,1.71,0.7,9.6
4.483942031860352,1.7,0.7,9.7
4.55910587310791,1.7,0.7,9.7
4.634368658065796,1.7,0.7,9.6
4.7093186378479,1.71,0.7,9.7
4.7837042808532715,1.68,0.7,9.6
4.858936071395874,1.67,0.7,9.6
4.933976173400879,1.68,0.7,9.6
5.0085484981536865,1.69,0.7,9.6
5.083805799484253,1.67,0.7,9.6
5.159991502761841,1.67,0.7,9.7
5.233947515487671,1.69,0.7,9.6
5.308960676193237,1.7,0.7,9.6
5.384507656097412,1.69,0.7,9.7
5.459503173828125,1.69,0.7,9.6
5.5340821743011475,1.7,0.7,9.7
5.609147548675537,1.69,0.7,9.7
5.684377193450928,1.73,0.7,9.7
5.758507251739502,1.73,0.7,9.6
5.833408832550049,1.7,0.7,9.7
5.927833318710327,1.7,0.7,9.6
6.002607583999634,1.71,0.7,9.6
6.0770583152771,1.72,0.7,9.7
6.152685880661011,1.7,0.7,9.6
6.22765588760376,1.7,0.7,9.7
6.302953243255615,1.66,0.7,9.6
6.3777594566345215,1.68,0.7,9.7
6.452940464019775,1.67,0.7,9.6
6.528696298599243,1.71,0.7,9.7
6.60250186920166,1.69,0.7,9.6
6.677878141403198,1.71,0.7,9.7
6.7528581619262695,1.69,0.7,9.6
6.8271543979644775,1.68,0.7,9.7
6.902668476104736,1.71,0.7,9.7
6.977934837341309,1.68,0.7,9.7
7.053252220153809,1.71,0.7,9.6
7.127493619918823,1.7,0.7,9.7
7.20284104347229,1.68,0.7,9.7
7.277947425842285,1.69,0.7,9.6
7.3532187938690186,1.69,0.7,9.7
7.428011178970337,1.7,0.7,9.7
7.502056837081909,1.67,0.7,9.7
7.5777974128723145,1.68,0.7,9.7
7.65369176864624,1.69,0.7,9.7
7.727755308151245,1.68,0.7,9.7
7.802801609039307,1.68,0.7,9.6
7.877642631530762,1.68,0.7,9.6
7.953284025192261,1.7,0.7,9.7
8.02817702293396,1.71,0.7,9.7
8.103408575057983,1.69,0.7,9.6
8.177529096603394,1.68,0.7,9.7
8.252522945404053,1.68,0.7,9.7
8.327167987823486,1.71,0.7,9.6
8.402116298675537,1.71,0.7,9.7
8.478244543075562,1.7,0.7,9.6
8.552597045898438,1.68,0.7,9.7
8.628142595291138,1.71,0.7,9.7
8.702688932418823,1.71,0.7,9.7
8.778196096420288,1.68,0.6,9.6
8.85379433631897,1.68,0.7,9.7
8.927598476409912,1.68,0.7,9.6
9.002406597137451,1.68,0.7,9.7
9.077860593795776,1.68,0.7,9.6
9.152775049209595,1.69,0.7,9.7
9.227898120880127,1.68,0.7,9.7
9.302616596221924,1.69,0.7,9.7
9.377777814865112,1.71,0.7,9.6
9.453179836273193,1.69,0.7,9.6
9.527790784835815,1.68,0.7,9.7
9.603454351425171,1.69,0.7,9.6
9.678165674209595,1.68,0.7,9.6
9.752681732177734,1.7,0.7,9.7
9.827675104141235,1.66,0.7,9.7
9.902829885482788,1.68,0.7,9.7
9.977724313735962,1.68,0.7,9.7
10.052964925765991,1.71,0.7,9.7
10.127203464508057,1.67,0.7,9.6
10.202765464782715,1.67,0.7,9.7
10.277962684631348,1.67,0.7,9.6
10.352473497390747,1.68,0.7,9.6
10.42833924293518,1.69,0.7,9.6
10.50285530090332,1.69,0.7,9.7
10.57756233215332,1.67,0.7,9.7
