timestamp,Force,Accelerationx,Accelerationy,Accelerationz,AccelerationResultant
0.05215263366699219,1.67,0.6,9.6,0.7,9.6
0.1067507266998291,1.68,0.6,9.6,0.7,9.6
0.16194486618041992,1.7,0.6,9.6,0.7,9.6
0.21776342391967773,1.71,0.6,9.6,0.7,9.6
0.2722301483154297,1.7,0.6,9.6,0.7,9.6
0.3278992176055908,1.69,0.6,9.6,0.7,9.6
0.39597535133361816,1.7,0.6,9.6,0.7,9.6
0.45111966133117676,1.71,0.6,9.6,0.7,9.6
0.5057029724121094,1.7,0.6,9.6,0.7,9.6
0.5615570545196533,1.72,0.6,9.6,0.7,9.6
0.6157948970794678,1.71,0.6,9.6,0.7,9.6
0.6708328723907471,1.71,0.6,9.6,0.7,9.6
0.7263813018798828,1.71,0.6,9.6,0.7,9.6
0.7813365459442139,1.68,0.6,9.6,0.7,9.6
0.8501338958740234,1.69,0.6,9.6,0.7,9.6
0.9258677959442139,1.71,0.6,9.6,0.7,9.6
1.0003082752227783,1.69,0.6,9.6,0.7,9.6
1.0758154392242432,1.7,0.6,9.6,0.7,9.6
1.15226149559021,1.7,0.6,9.6,0.6,9.6
1.2268788814544678,1.7,0.6,9.6,0.7,9.6
1.3014559745788574,1.71,0.6,9.6,0.7,9.6
1.3752834796905518,1.69,0.6,9.6,0.7,9.6
1.4510250091552734,1.69,0.6,9.6,0.7,9.6
1.5266749858856201,1.68,0.6,9.6,0.7,9.6
1.6008944511413574,1.68,0.6,9.6,0.7,9.6
1.6759774684906006,1.69,0.6,9.6,0.7,9.6
1.751009464263916,1.69,0.6,9.6,0.7,9.6
1.8258776664733887,1.69,0.6,9.6,0.7,9.6
1.9013724327087402,1.7,0.6,9.6,0.7,9.6
1.97617506980896,1.67,0.6,9.6,0.7,9.6
2.050985097885132,1.68,0.6,9.6,0.7,9.6
2.1260886192321777,1.68,0.6,9.6,0.7,9.6
2.201575517654419,1.67,0.6,9.6,0.7,9.6
2.2758724689483643,1.69,0.6,9.6,0.7,9.6
2.3512728214263916,1.67,0.6,9.6,0.7,9.6
2.4257307052612305,1.67,0.6,9.6,0.6,9.6
2.5013208389282227,1.69,0.6,9.6,0.7,9.6
2.575542688369751,1.72,0.6,9.6,0.7,9.6
2.65170955657959,1.69,0.6,9.6,0.7,9.6
2.7268412113189697,1.68,0.6,9.6,0.7,9.6
2.801269054412842,1.68,0.6,9.6,0.7,9.6
2.894822835922241,1.69,0.6,9.6,0.6,9.6
2.9700982570648193,1.68,0.6,9.6,0.7,9.6
3.045273780822754,1.67,0.6,9.6,0.7,9.6
3.1198925971984863,1.69,0.6,9.6,0.7,9.6
3.195078134536743,1.67,0.6,9.6,0.7,9.6
3.269867181777954,1.7,0.6,9.6,0.7,9.6
3.345541477203369,1.69,0.6,9.6,0.6,9.6
3.4202706813812256,1.7,0.6,9.6,0.7,9.6
3.4949686527252197,1.67,0.6,9.6,0.7,9.6
3.570039987564087,1.7,0.6,9.6,0.7,9.6
3.644447088241577,1.7,0.6,9.6,0.7,9.6
3.72011137008667,1.7,0.6,9.6,0.7,9.6
3.794793128967285,1.71,0.6,9.6,0.7,9.6
3.8696279525756836,1.69,0.6,9.6,0.6,9.6
3.945321559906006,1.7,0.6,9.6,0.6,9.6
4.020497560501099,1.66,0.6,9.6,0.7,9.6
4.095182657241821,1.71,0.6,9.6,0.7,9.6
4.169469594955444,1.7,0.6,9.6,0.7,9.6
4.244501113891602,1.72,0.6,9.6,0.7,9.6
4.320249319076538,1.69,0.6,9.6,0.7,9.6
4.394766092300415,1.7,0.6,9.6,0.7,9.6
4.470656871795654,1.7,0.6,9.6,0.7,9.6
4.544819355010986,1.71,0.6,9.6,0.7,9.6
4.638652324676514,1.7,0.6,9.6,0.7,9.6
4.713418483734131,1.69,0.6,9.6,0.7,9.6
4.788697242736816,1.7,0.6,9.6,0.7,9.6
4.863828897476196,1.7,0.6,9.6,0.7,9.6
4.938831090927124,1.69,0.6,9.6,0.7,9.6
5.014087200164795,1.68,0.6,9.6,0.7,9.6
5.088542461395264,1.68,0.6,9.6,0.7,9.6
5.163490295410156,1.69,0.6,9.6,0.7,9.6
5.239028215408325,1.69,0.6,9.6,0.7,9.6
5.313734292984009,1.7,0.6,9.6,0.6,9.6
5.388734579086304,1.68,0.6,9.6,0.7,9.6
5.4634339809417725,1.69,0.6,9.6,0.7,9.6
5.538357257843018,1.66,0.6,9.6,0.7,9.6
5.61329460144043,1.68,0.6,9.6,0.7,9.6
5.688716650009155,1.67,0.6,9.6,0.7,9.6
5.763735771179199,1.68,0.6,9.6,0.7,9.6
5.839288711547852,1.68,0.6,9.6,0.7,9.6
5.913890600204468,1.65,0.6,9.6,0.6,9.6
5.989271402359009,1.67,0.6,9.6,0.7,9.6
6.063929080963135,1.68,0.6,9.6,0.7,9.6
6.138445138931274,1.68,0.6,9.6,0.7,9.6
6.214079141616821,1.69,0.6,9.6,0.7,9.6
6.288536787033081,1.69,0.6,9.6,0.7,9.6
6.363598585128784,1.69,0.6,9.6,0.7,9.6
6.438723564147949,1.69,0.6,9.6,0.6,9.6
6.513546466827393,1.68,0.6,9.6,0.7,9.6
6.588779449462891,1.69,0.6,9.9,0.8,10.0
6.6636340618133545,1.7,0.6,9.4,0.5,9.4
6.738743543624878,1.71,0.6,9.3,0.3,9.3
6.813725233078003,1.71,0.6,10.0,0.6,10.0
6.888005256652832,1.71,0.6,9.4,0.8,9.5
6.964405536651611,1.69,0.6,9.5,0.7,9.5
7.038788080215454,1.69,0.6,9.5,0.7,9.5
7.1142237186431885,1.72,0.6,9.4,0.5,9.4
7.188471794128418,1.73,0.6,9.6,0.7,9.6
7.263669490814209,1.68,0.6,9.5,0.7,9.5
7.339678525924683,1.7,0.6,9.4,0.4,9.4
7.414090156555176,1.7,0.7,9.5,0.4,9.5
7.488798379898071,1.71,0.6,9.6,0.6,9.6
7.563793420791626,1.7,0.6,9.5,0.8,9.6
7.638666152954102,1.71,0.5,9.6,0.8,9.6
7.714719533920288,1.69,0.6,9.2,0.6,9.2
7.78880763053894,1.68,0.6,9.5,0.6,9.5
7.864151477813721,1.7,0.6,9.7,0.7,9.7
7.939049005508423,1.71,0.6,9.2,0.6,9.2
8.013574838638306,1.7,0.6,9.5,0.4,9.5
8.08948016166687,1.71,0.6,9.6,0.5,9.6
8.164016246795654,1.71,0.6,9.4,0.5,9.4
8.238568782806396,1.68,0.6,9.7,0.6,9.7
